avg,long_bar,mean
0.03,456,0.036609447004608296
0.02,586,0.03335940766801724
0.03,450,0.03680802151111476
0.03,478,0.04072148370497427
0.03,442,0.03939393939393939
0.03,386,0.0402239696982173
0.03,451,0.04002755200440832
0.02,469,0.03615990412600582
0.03,322,0.04047505085557018
0.03,430,0.04
0.03,250,0.045875147579693035
0.02,579,0.03798345629331545
0.03,427,0.04072521865889213
0.07,110,0.05093394777265745
0.02,575,0.03167447306791569
0.04,108,0.05420262367630789
0.05,82,0.14275149815121765
0.18,102,0.05278629856850716
0.21,85,0.1696791780247431
0.04,107,0.04425465838509317
0.05,116,0.05153846153846154
0.21,89,0.054568635784105396
0.16,83,0.17335922214975988
0.19,75,0.16835372636262513
0.18,89,0.1664776754075124
0.03,420,0.03822505800464037
0.02,824,0.03376846570133099
0.02,830,0.03333501574739562
0.02,689,0.033234647928242
0.11,594,0.09328822329469129
0.03,488,0.031714874659219364
0.03,382,0.0334211682037769
0.03,442,0.03247782133020854
0.03,431,0.03517604580609324
0.02,738,0.030565583391970682
0.03,385,0.03635623869801085
0.06,109,0.05702247191011236
0.05,90,0.15283828382838283
0.02,433,0.03125448028673835
0.03,315,0.03296650055370985
0.03,305,0.03893481717011129
0.03,250,0.03887604947187867
0.03,318,0.03816397228637413
0.03,312,0.03525745573159366
0.03,292,0.04005096014309338
0.02,410,0.03260954730970285
0.03,256,0.03368865117330219
0.03,370,0.03774089279696069
0.03,420,0.03715722120658135
0.02,417,0.037419150285351935
0.02,472,0.03582266677968975
0.03,398,0.03766666666666667
0.03,336,0.033751351859688715
0.03,417,0.037252747252747256
0.03,401,0.03683567105746702
0.02,432,0.0337241653418124
0.02,478,0.030118917441224715
0.02,564,0.03360113421550094
0.02,460,0.03662301587301588
0.03,373,0.04004524886877828
0.03,448,0.039280652019844084
0.02,667,0.032292885355732215
0.03,424,0.03364807052417786
0.36,290,0.3545454545454545
0.03,328,0.032215189873417725
0.03,383,0.03075691536641001
0.03,378,0.03651790347690711
0.03,505,0.03876703056139643
0.03,360,0.039209620638923914
0.03,314,0.038993453355155486
0.02,406,0.036246355456626016
0.02,446,0.03433311909352758
0.04,216,0.041471039929793764
0.03,274,0.04142588677472398
0.03,290,0.03575570580528282
0.03,277,0.03586163981440147
0.03,164,0.03389173424384692
0.03,309,0.03611111111111111
0.07,126,0.06305000000000001
0.06,80,0.06361565264004289
0.06,117,0.048170731707317074
0.06,68,0.06907968093318466
0.08,66,0.07317596566523604
0.06,100,0.06376112071058306
0.05,134,0.060994764397905764
0.06,75,0.06871279761904761
0.06,98,0.058416521659492626
